id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,1475,2115,94067,1262,3.5,1.62,1403,3.89,1.89,1394,3.86,1.83,0.94,0.92,0.46,0.45,0.28,212.66
1,1266,1778,80507,1109,3.18,1.49,1200,3.44,1.62,1210,3.47,1.67,0.93,0.91,0.48,0.47,0.21,209.6
2,1511,2150,105320,1307,3.59,1.53,1401,3.85,1.72,1439,3.95,1.83,0.9,0.86,0.44,0.42,0.81,206.36
3,1507,2089,101705,1281,3.39,1.58,1397,3.7,1.72,1431,3.79,1.79,0.91,0.88,0.47,0.45,0.47,211.2
4,1969,2527,111347,1458,4.05,1.68,1628,4.52,1.93,1615,4.49,1.92,0.96,0.93,0.38,0.37,0.27,219.42
5,1690,2267,103516,1358,3.83,1.57,1467,4.13,1.74,1479,4.17,1.77,0.94,0.91,0.41,0.4,0.36,211.55
6,1678,2404,110028,1453,3.9,1.72,1573,4.22,1.92,1610,4.32,2.03,0.92,0.89,0.46,0.44,0.47,200.01
7,1388,2032,99413,1206,3.37,1.66,1282,3.58,1.81,1332,3.72,1.99,0.89,0.85,0.51,0.5,1.06,203.95
8,2005,2506,111831,1253,3.56,1.36,1516,4.31,1.84,1547,4.39,1.92,0.93,0.9,0.4,0.39,0.49,223.18
9,2488,2985,132748,1362,3.76,1.41,1752,4.84,1.75,1794,4.96,1.85,0.94,0.91,0.32,0.32,0.32,233.75
10,2327,2766,122222,1385,3.71,1.39,1682,4.51,1.71,1694,4.54,1.72,0.96,0.93,0.33,0.32,0.15,235.45
11,2609,3337,148851,1654,4.33,1.54,1876,4.91,2.59,1895,4.96,2.12,0.95,0.92,0.32,0.31,0.32,233.35
12,2075,2753,122752,1500,4.0,1.6,1611,4.3,1.85,1628,4.34,1.91,0.95,0.92,0.36,0.35,0.48,227.94
13,1401,2048,93170,1180,3.26,1.47,1341,3.7,1.71,1350,3.73,1.72,0.94,0.91,0.45,0.44,0.26,216.68
14,1362,1781,78073,1139,3.26,1.47,1235,3.54,1.7,1245,3.57,1.66,0.94,0.92,0.48,0.47,0.28,221.85
15,1445,2101,97606,1182,3.27,1.43,1340,3.7,1.67,1364,3.77,1.71,0.91,0.88,0.48,0.46,0.58,218.96
16,1759,2445,117126,1324,3.78,1.71,1530,4.37,2.05,1588,4.54,2.31,0.9,0.87,0.43,0.42,0.62,218.26
17,1607,2271,105477,1317,3.69,1.75,1485,4.16,1.87,1509,4.23,2.04,0.93,0.9,0.43,0.41,0.47,220.23
18,1402,2055,97308,1191,3.25,1.57,1301,3.55,1.78,1344,3.67,1.92,0.91,0.88,0.51,0.49,0.66,207.15
19,1606,2532,127079,1348,3.6,1.64,1445,3.86,1.85,1525,4.08,2.08,0.89,0.85,0.47,0.45,0.98,198.56
20,1693,2505,118552,1409,3.72,1.62,1592,4.2,1.92,1615,4.26,1.98,0.94,0.9,0.45,0.43,0.71,209.77
21,4740,5615,1443618,1260,3.41,1.58,1395,3.78,1.88,1443,3.91,2.07,0.92,0.89,0.46,0.45,0.67,207.48
22,1503,2239,98953,1194,3.34,1.43,1343,3.76,1.71,1345,3.77,1.71,0.94,0.92,0.45,0.44,0.9,213.21
23,1379,2036,96934,1160,3.25,1.48,1278,3.58,1.68,1324,3.71,1.8,0.91,0.88,0.48,0.47,0.67,209.48
24,1201,1753,77688,1032,3.0,1.39,1143,3.32,1.6,1153,3.35,1.66,0.94,0.92,0.51,0.5,0.21,211.85
25,1316,1922,89665,1081,3.12,1.47,1214,3.51,1.75,1230,3.55,1.79,0.92,0.89,0.49,0.47,0.58,212.2
26,1502,2038,94329,1184,3.33,1.49,1348,3.79,1.77,1375,3.86,1.89,0.91,0.88,0.48,0.46,0.47,210.12
27,1660,2532,121043,1317,3.5,3.65,1348,3.59,1.53,1561,4.15,4.56,0.9,0.87,0.48,0.47,0.8,209.65
28,1554,2343,104572,1271,3.62,4.38,1276,3.64,1.79,1479,4.21,5.93,0.91,0.89,0.48,0.46,0.55,207.73
29,1383,1881,84496,1165,3.28,1.48,1276,3.59,1.69,1292,3.64,1.71,0.92,0.89,0.48,0.46,0.25,208.37
30,1441,1988,91661,1191,3.3,1.51,1355,3.75,1.77,1369,3.79,1.77,0.92,0.89,0.49,0.47,0.43,212.3
31,1536,2248,106110,1287,3.39,1.55,1427,3.76,1.79,1467,3.86,1.9,0.9,0.87,0.48,0.46,0.18,211.6
32,1598,2223,104720,1226,3.36,1.47,1395,3.82,1.83,1434,3.93,1.93,0.91,0.89,0.46,0.44,0.37,210.92
33,1687,2471,121484,1348,3.59,1.64,1509,4.02,1.81,1600,4.27,2.19,0.89,0.86,0.48,0.46,0.6,206.3
34,1514,2106,97634,1223,3.33,1.47,1384,3.77,1.79,1397,3.81,1.84,0.92,0.89,0.48,0.46,0.32,207.97
35,1265,1918,85294,1059,3.05,1.4,1175,3.39,1.67,1190,3.43,1.71,0.94,0.92,0.49,0.47,1.15,207.0
36,1175,1646,81011,1045,3.02,1.41,1108,3.2,1.51,1131,3.27,1.6,0.9,0.87,0.5,0.48,0.43,203.71
37,1363,1975,101217,1098,3.23,1.49,1166,3.43,1.68,1265,3.72,1.95,0.84,0.8,0.47,0.45,0.31,199.59
38,1458,2044,89753,1222,3.56,1.52,1339,3.9,1.74,1364,3.98,1.85,0.94,0.92,0.46,0.44,1.47,209.2
