id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,116449,7536593,7342162017,17797,13.5,17.45,12508,9.49,13.91,60186,45.66,82.28,0.57,0.59,0.43,0.41,12.54,150.11
1,92210,6811160,7259061868,16572,12.61,16.14,10271,7.82,10.27,52739,40.14,70.27,0.56,0.58,0.43,0.4,16.33,150.55
2,108968,6864186,6752044071,17126,13.46,16.93,11660,9.17,15.49,58364,45.88,78.67,0.58,0.59,0.42,0.4,15.59,149.92
3,103891,5766816,5328730851,17452,13.01,16.61,11547,8.61,12.06,56421,42.07,75.63,0.56,0.59,0.43,0.41,15.73,152.2
4,101960,5803576,5406242917,17806,13.44,16.35,13277,10.02,17.37,54966,41.48,72.08,0.61,0.63,0.4,0.38,14.17,156.85
5,64026,1756471,1634791868,14580,10.76,10.7,11956,8.82,12.74,38042,28.08,35.53,0.57,0.59,0.41,0.38,14.46,154.58
6,75977,2502808,2571305768,15751,11.3,11.83,14151,10.15,19.05,43420,31.15,39.53,0.52,0.55,0.43,0.4,14.74,148.67
7,127809,9557481,9266141002,18555,14.28,18.81,11681,8.99,13.26,64372,49.56,89.39,0.56,0.58,0.43,0.41,14.19,144.57
8,109961,7831622,7013584590,17704,13.08,16.59,12502,9.23,15.68,57728,42.64,79.21,0.6,0.61,0.4,0.38,12.64,158.79
9,88514,5111762,5015424084,16955,12.94,16.24,10409,7.95,6.28,52696,40.23,70.82,0.63,0.64,0.37,0.36,13.01,171.37
10,75085,4315798,3833741826,15912,12.36,14.75,9806,7.62,5.32,46329,36.0,61.56,0.63,0.64,0.39,0.37,14.03,167.43
11,83081,4575620,4222114822,17441,12.77,14.43,11769,8.62,9.17,48441,35.46,60.6,0.6,0.61,0.39,0.37,12.05,167.32
12,50151,1778941,1849863500,13591,10.57,9.17,12263,9.54,14.46,30956,24.07,28.83,0.64,0.64,0.4,0.38,12.7,161.89
13,53497,1310048,1063465973,13855,10.24,9.44,12013,8.88,11.15,33780,24.97,29.88,0.53,0.55,0.43,0.41,14.8,150.51
14,102468,7617883,6362354736,17575,13.56,17.05,10629,8.2,8.72,55627,42.92,77.03,0.58,0.59,0.42,0.4,15.58,150.7
15,105688,7942824,7963239099,17806,13.04,16.64,11519,8.43,9.8,57248,41.91,73.98,0.53,0.54,0.43,0.42,14.48,151.06
16,112381,6937837,6576118182,18929,13.58,16.07,13659,9.8,14.65,61289,43.97,72.9,0.53,0.55,0.41,0.39,13.95,153.19
17,112673,6663129,6463785959,18877,14.09,16.62,14317,10.68,17.99,59934,44.73,73.53,0.56,0.57,0.42,0.4,14.91,150.84
18,100362,5220420,4904806970,17539,13.07,15.83,11822,8.81,10.86,54006,40.24,70.01,0.57,0.58,0.43,0.41,14.58,149.13
19,69499,2469194,2504924057,15455,11.17,10.62,13783,9.97,15.37,39312,28.43,33.89,0.54,0.56,0.43,0.41,13.1,148.8
20,62539,3325949,3596543045,15222,12.05,11.07,13167,10.43,12.11,37415,29.62,35.11,0.58,0.59,0.42,0.4,13.68,148.43
21,126556,8647095,8447187969,19795,14.48,17.79,14085,10.3,15.7,63507,46.46,83.24,0.53,0.55,0.42,0.4,13.7,151.31
22,118065,21307410,16070732809,19763,14.35,18.0,14241,10.34,16.74,62430,45.34,80.08,0.54,0.56,0.42,0.4,13.11,148.64
23,120565,9881736,10772601280,19958,14.73,17.67,12511,9.23,9.73,64490,47.59,81.99,0.56,0.58,0.42,0.41,13.75,150.51
24,121938,7489882,7111508207,18930,14.31,17.27,12415,9.38,10.9,62509,47.25,82.54,0.54,0.56,0.43,0.41,14.01,150.36
25,111698,5177416,5112380580,17886,13.3,16.04,12397,9.22,11.82,58302,43.35,76.33,0.53,0.55,0.41,0.39,15.56,152.15
26,61998,1242860,1098188590,14007,9.98,9.33,12120,8.64,11.15,37494,26.72,32.43,0.51,0.53,0.43,0.4,16.28,151.29
27,71965,1573192,1270264948,14378,10.39,10.2,12424,8.98,11.47,40466,29.24,36.36,0.53,0.55,0.44,0.42,17.61,148.06
28,129470,10030227,9777619213,18460,13.16,17.72,11706,8.34,10.44,63985,45.61,86.46,0.51,0.53,0.44,0.42,16.51,152.21
29,111703,7537973,7563513630,17519,13.18,16.48,11359,8.55,9.98,60195,45.29,79.71,0.54,0.56,0.43,0.4,15.81,155.08
30,125723,9649410,9875443065,18411,13.29,16.73,12600,9.1,13.42,63786,46.05,81.21,0.52,0.54,0.43,0.41,15.64,152.33
31,116199,6950118,6831886761,18848,14.03,16.42,12579,9.37,9.64,60171,44.8,75.9,0.6,0.61,0.38,0.37,13.63,168.33
32,109444,6583085,6189567912,18675,13.66,16.29,12900,9.44,11.94,57800,42.28,73.37,0.55,0.57,0.4,0.37,16.43,161.35
33,64793,2547854,2509473986,15000,10.84,10.31,12910,9.33,12.5,38427,27.77,33.8,0.55,0.57,0.43,0.4,16.74,151.45
34,68230,2611376,2366581811,15487,11.23,10.91,12617,9.15,11.64,40839,29.61,35.26,0.51,0.54,0.43,0.4,15.18,152.55
35,118063,7782480,7386754988,18520,13.36,17.33,12131,8.75,11.17,61469,44.35,80.34,0.51,0.53,0.43,0.4,16.12,150.72
36,111809,8479748,8678159559,17903,12.99,16.77,11861,8.61,11.42,59407,43.11,78.92,0.53,0.56,0.43,0.41,15.87,150.64
37,111676,7164424,6917971183,17836,13.32,16.4,11153,8.33,9.35,59832,44.68,77.53,0.54,0.55,0.43,0.41,15.66,151.45
38,116974,8455231,8831257674,18590,13.45,16.38,11905,8.61,9.4,61716,44.66,76.76,0.55,0.56,0.42,0.4,13.88,151.84
39,72394,2062334,1879934331,15540,11.42,11.48,12163,8.94,9.19,42057,30.9,39.22,0.55,0.56,0.42,0.4,14.77,153.39
40,76389,1876361,1697642466,15800,11.3,11.22,14506,10.38,20.5,42654,30.51,38.0,0.54,0.56,0.42,0.4,15.04,151.53
41,74237,1898829,1855942870,15322,11.09,11.37,14884,10.77,21.39,41680,30.16,38.95,0.55,0.57,0.42,0.39,14.48,151.15
42,129544,8377397,8395889329,19257,13.82,17.55,12237,8.78,11.27,64715,46.46,83.95,0.55,0.57,0.41,0.4,13.13,158.02
43,123145,6802488,6138224914,18392,13.46,16.92,12877,9.43,14.39,62791,45.97,81.47,0.55,0.57,0.42,0.41,14.73,152.98
44,132456,7499343,7430922880,19156,13.81,17.2,13616,9.82,16.3,65191,47.0,82.78,0.54,0.56,0.42,0.4,12.83,154.82
45,124252,5845294,5048971979,18431,13.56,17.03,13319,9.8,15.52,62018,45.64,80.86,0.54,0.56,0.43,0.41,15.52,154.43
46,113916,6260308,6048229346,17529,12.7,15.93,12599,9.13,14.11,58367,42.29,73.6,0.52,0.54,0.43,0.41,14.4,152.65
47,67569,5543714,4761297488,14016,10.76,10.69,13567,10.42,20.22,37214,28.58,35.74,0.54,0.56,0.42,0.4,16.14,150.8
48,53100,1616448,1010574764,12911,10.34,9.83,9552,7.65,5.38,30966,24.79,32.09,0.64,0.65,0.39,0.37,17.87,172.32
49,110144,6453108,6127589546,17235,12.82,16.36,10776,8.02,9.86,57257,42.6,78.37,0.57,0.59,0.39,0.37,17.18,161.9
50,103802,5718256,5385217353,17548,13.3,15.74,11597,8.79,10.35,55689,42.22,72.44,0.59,0.61,0.4,0.38,15.3,162.13
51,143364,9979239,10461352865,19267,14.19,18.06,11850,8.73,8.87,69419,51.12,88.98,0.54,0.56,0.42,0.4,15.65,155.52
52,131859,9523882,9644058741,18544,13.33,16.52,12467,8.96,10.57,63828,45.89,82.34,0.56,0.58,0.41,0.4,14.12,156.97
53,120178,8252215,7876237627,18080,13.52,16.22,12946,9.68,14.48,60087,44.94,77.53,0.58,0.6,0.41,0.4,16.1,156.3
