id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,71771,10946614,9215598095,10481,14.18,24.5,5086,6.88,6.04,38180,51.66,127.84,0.77,0.76,0.47,0.46,21.17,154.46
1,55910,9284069,8216116190,9405,13.32,22.04,4373,6.19,5.42,32054,45.4,106.97,0.76,0.75,0.49,0.47,21.84,153.84
2,68083,11930841,11033222704,10455,14.13,23.14,5083,6.87,5.66,36316,49.08,116.75,0.78,0.76,0.46,0.45,20.15,152.34
3,70299,12962905,12250268519,10267,14.28,23.44,5044,7.02,6.1,36828,51.22,121.13,0.78,0.77,0.47,0.46,19.4,156.73
4,69524,8184564,6929670783,10365,14.1,22.41,5651,7.69,6.57,35318,48.05,116.99,0.79,0.79,0.44,0.43,15.17,165.12
5,23443,1453822,566742690,7549,10.4,12.37,4994,6.88,4.68,16057,22.12,34.93,0.74,0.73,0.47,0.47,18.72,156.69
6,28321,2742116,1309290432,8589,11.08,14.19,5566,7.18,5.18,18910,24.4,41.73,0.73,0.72,0.48,0.47,22.14,148.38
7,84462,13411951,10673807750,10797,14.83,25.12,5239,7.2,6.47,41930,57.6,138.93,0.78,0.78,0.49,0.48,19.78,152.44
8,71380,9762441,7860150941,10193,14.2,24.14,5416,7.54,6.64,38440,53.54,133.15,0.78,0.76,0.44,0.43,15.58,166.43
9,54426,6563580,5264593247,9193,14.01,22.17,5340,8.14,6.48,30624,46.68,103.5,0.83,0.82,0.39,0.39,10.75,186.82
10,50047,7752752,7128324412,9016,12.25,19.39,5811,7.9,6.44,28977,39.37,91.98,0.83,0.82,0.42,0.43,11.47,175.5
11,55644,6465538,5189660659,8990,13.46,21.23,4897,7.33,5.19,30312,45.38,110.14,0.83,0.82,0.4,0.39,13.22,184.33
12,17012,844560,304909859,5975,8.8,9.44,4421,6.51,4.28,11779,17.35,25.3,0.81,0.81,0.44,0.45,14.99,175.71
13,17691,1480187,635966098,6261,8.88,10.54,4421,6.27,4.79,12683,17.99,27.81,0.76,0.76,0.48,0.48,18.85,158.06
14,63321,6317614,5288664444,9644,14.22,23.68,4539,6.69,5.75,34762,51.27,120.34,0.8,0.79,0.47,0.46,17.33,155.3
15,72078,9889158,8597641511,10168,14.02,23.57,5485,7.57,7.21,37635,51.91,124.64,0.79,0.78,0.47,0.46,19.52,157.22
16,68700,7588777,6470703498,10566,14.51,23.76,5847,8.03,7.02,37362,51.32,118.23,0.79,0.78,0.45,0.43,19.12,159.59
17,66981,7683524,6279045872,10500,14.11,22.91,5605,7.53,6.6,35816,48.14,112.77,0.79,0.78,0.44,0.43,20.35,161.45
18,65282,11704887,10026100672,9899,13.5,23.28,4943,6.74,5.77,34996,47.74,117.35,0.76,0.75,0.47,0.46,22.43,153.52
19,23433,1783733,823575814,6980,9.38,11.23,5272,7.09,6.24,15690,21.09,34.11,0.74,0.73,0.46,0.47,21.21,150.41
20,22384,1950048,763707622,6745,9.75,11.8,4915,7.1,5.45,14902,21.53,34.26,0.75,0.76,0.48,0.47,21.56,156.43
21,79436,11154569,9366097411,10715,15.01,25.59,5362,7.51,6.87,41357,57.92,140.42,0.77,0.77,0.45,0.44,18.65,153.21
22,78837,10074270,8187261526,10411,14.13,23.46,5127,6.96,5.92,38648,52.44,125.99,0.78,0.78,0.46,0.45,19.74,159.4
23,77425,8284150,6529338720,10810,14.65,24.83,5974,8.09,8.43,40237,54.52,127.98,0.75,0.73,0.46,0.46,22.14,154.63
24,77560,8766808,6565682786,10289,14.83,25.08,4945,7.13,7.09,39443,56.83,130.18,0.76,0.76,0.51,0.49,25.09,154.84
25,79080,7226298,5505456685,9961,14.15,23.49,5633,8.0,8.23,36943,52.48,130.93,0.77,0.76,0.49,0.48,23.72,157.51
26,26925,1247908,585564484,7294,9.52,12.02,5173,6.75,4.69,12810,16.72,26.67,0.79,0.79,0.48,0.51,21.45,155.81
27,30810,1225557,498439912,7097,10.1,12.96,4742,6.75,5.79,13506,19.21,30.67,0.78,0.78,0.51,0.5,21.67,149.77
28,90336,11250298,9561360425,10282,14.58,24.41,5035,7.14,6.62,39975,56.7,137.98,0.79,0.78,0.48,0.47,19.56,154.15
29,79720,8695789,6662337016,10386,14.84,24.25,5321,7.6,7.53,37632,53.76,125.6,0.78,0.77,0.48,0.46,22.37,154.97
30,83177,11142154,9615748872,10808,14.74,24.08,5543,7.56,7.16,39577,53.99,127.86,0.78,0.76,0.47,0.46,20.1,156.63
31,80616,8589656,6831229046,10588,14.02,23.35,5222,6.92,5.82,38474,50.96,123.84,0.78,0.76,0.47,0.46,20.09,154.74
32,70249,9981642,8350536714,10222,14.24,23.28,5260,7.33,6.22,34416,47.93,118.64,0.79,0.78,0.45,0.45,19.08,163.46
33,26679,3118480,2019362829,7806,10.55,13.38,5108,6.9,6.31,15442,20.87,33.63,0.77,0.75,0.47,0.47,21.09,156.08
34,26061,2613830,1101776619,7591,10.18,12.51,5024,6.73,4.77,15185,20.36,32.26,0.75,0.74,0.48,0.49,20.79,153.88
35,84064,11078354,9203688799,11348,15.83,28.02,6087,8.49,10.99,40218,56.09,135.37,0.75,0.74,0.47,0.46,19.38,155.59
36,78062,7981512,6596163616,10414,14.94,24.68,5027,7.21,6.58,37405,53.67,126.5,0.8,0.79,0.45,0.43,20.51,155.57
37,75261,10870130,9497395680,10417,14.75,24.03,4897,6.94,6.33,36093,51.12,119.19,0.79,0.78,0.48,0.47,22.73,157.57
38,78125,10182586,8289036154,11369,14.86,23.86,5824,7.61,6.66,37318,48.78,115.47,0.74,0.72,0.45,0.45,19.46,153.94
39,34486,2574497,1263778751,8810,12.1,15.93,5373,7.38,5.73,18724,25.72,42.55,0.76,0.76,0.47,0.47,19.99,155.83
40,34660,1933270,743964822,8643,11.92,15.52,5096,7.03,5.22,18177,25.07,41.19,0.73,0.72,0.47,0.47,22.86,147.25
41,34007,1929827,887814168,8497,11.5,15.01,5586,7.56,7.55,17727,23.99,39.72,0.75,0.75,0.47,0.48,19.96,149.01
42,84377,11892499,10593168831,10746,15.62,24.74,5219,7.59,6.83,37528,54.55,127.47,0.78,0.77,0.45,0.45,19.54,160.63
43,86863,9004723,7282098145,10894,15.19,24.87,5048,7.04,6.17,38378,53.53,125.86,0.76,0.75,0.46,0.45,21.91,152.68
44,88605,9963852,7955467237,10997,14.78,24.21,5287,7.11,6.11,39170,52.65,125.77,0.79,0.79,0.45,0.42,14.14,148.93
45,83358,7519643,5771697583,11067,15.52,25.74,4841,6.79,6.19,38375,53.82,125.22,0.81,0.81,0.46,0.44,21.2,146.02
46,73942,6492118,5128275361,9976,13.46,23.09,4869,6.57,5.92,33915,45.77,116.09,0.8,0.8,0.49,0.49,20.76,145.49
47,30842,1653491,612636671,7522,10.43,13.55,4743,6.58,5.69,14678,20.36,33.19,0.78,0.79,0.5,0.5,18.85,148.09
48,25079,1019437,560927526,6883,10.61,12.39,4423,6.82,4.57,12192,18.79,27.43,0.83,0.82,0.42,0.42,10.49,176.37
49,72420,7077298,5848125094,10279,14.56,23.49,5033,7.13,6.15,34291,48.57,113.11,0.82,0.81,0.41,0.4,15.48,169.36
50,72620,5806782,4287809954,10746,14.8,23.17,5479,7.55,6.26,34662,47.74,108.52,0.83,0.83,0.43,0.43,16.11,171.35
51,92562,9041573,6747040718,10985,15.21,24.44,5719,7.92,7.52,40654,56.31,129.5,0.78,0.79,0.46,0.44,19.56,155.89
52,91654,9212362,7824826847,10710,14.69,23.95,5507,7.55,6.51,39159,53.72,128.16,0.8,0.8,0.45,0.45,18.0,158.62
53,81795,9754960,6724930080,9785,13.67,22.25,5269,7.36,6.33,36364,50.79,126.2,0.81,0.8,0.45,0.44,18.07,157.65
54,26225,1457802,554926267,6069,8.93,9.86,4401,6.47,4.55,12402,18.24,28.07,0.8,0.8,0.46,0.46,16.81,161.52
55,28995,1561485,661205558,6775,9.98,10.95,5524,8.14,6.96,13598,20.03,30.43,0.79,0.79,0.43,0.44,15.67,165.12
56,81233,8092943,6992308365,10056,14.53,23.68,5632,8.14,7.27,36885,53.3,130.04,0.81,0.81,0.44,0.44,17.61,161.63
57,68217,7528850,6404101192,9601,14.12,21.11,5051,7.43,6.16,30796,45.29,98.46,0.82,0.81,0.42,0.4,14.55,169.85
58,88203,8730173,7280727158,10808,15.37,23.8,5353,7.61,6.11,39563,56.28,129.6,0.8,0.8,0.41,0.4,14.33,167.02
59,68898,10022041,9521644608,9696,14.28,22.86,4751,7.0,6.57,33408,49.2,114.29,0.82,0.82,0.45,0.43,14.85,157.67
60,76219,7851831,6632436746,9566,13.49,21.74,5494,7.75,7.61,34802,49.09,120.98,0.81,0.81,0.47,0.45,16.88,155.72
61,34459,1398438,572859591,7477,10.5,12.44,5296,7.44,5.79,15118,21.23,33.05,0.81,0.82,0.42,0.42,14.17,166.5
62,39582,1656665,764481041,8182,10.91,14.27,5401,7.2,5.98,17176,22.9,37.99,0.77,0.78,0.49,0.49,18.85,145.93
63,80100,8264547,6858060596,10567,15.05,23.63,5889,8.39,8.18,36468,51.95,120.43,0.83,0.83,0.42,0.41,15.02,165.01
64,78945,20111192,20944730239,11139,15.22,24.82,5556,7.59,6.71,37246,50.88,119.97,0.8,0.8,0.45,0.44,19.33,156.68
65,97329,14783739,13595854577,11408,15.76,25.81,5503,7.6,7.18,40082,55.36,130.85,0.79,0.79,0.47,0.46,18.78,145.94
66,78892,8802030,7399771027,10520,14.51,23.9,5507,7.6,7.62,35500,48.97,119.53,0.8,0.8,0.47,0.46,17.43,153.03
67,62245,8912291,8028255979,9746,13.52,21.4,5288,7.33,6.67,29422,40.81,100.62,0.82,0.82,0.46,0.45,16.75,153.07
68,27147,1652320,619632267,8048,11.75,14.57,5321,7.77,6.36,12786,18.67,27.54,0.8,0.8,0.47,0.47,16.53,156.71
69,25877,1829150,738352242,7368,10.9,12.72,4868,7.2,5.3,11975,17.71,25.95,0.78,0.79,0.46,0.45,17.53,160.66
70,88367,13163681,12014250421,10556,15.48,23.68,5636,8.26,8.06,39464,57.87,132.78,0.79,0.79,0.46,0.45,17.55,156.02
71,89283,8170602,6436943775,10809,15.76,24.79,5619,8.19,8.25,39864,58.11,132.27,0.8,0.81,0.43,0.41,18.37,154.16
72,78667,5481458,4163461112,9632,14.46,22.04,9073,13.62,25.74,35304,53.01,115.72,0.79,0.79,0.46,0.45,17.59,151.89
73,78859,6207505,4605911263,9191,13.95,20.31,8485,12.88,22.78,34899,52.96,115.54,0.81,0.81,0.45,0.43,20.35,160.86
74,59620,5453976,3986651427,8063,12.72,17.1,5151,8.12,8.34,27438,43.28,100.02,0.76,0.76,0.45,0.43,17.68,159.99
75,28414,1038515,366182836,6335,10.01,10.34,4852,7.67,5.79,13103,20.7,29.48,0.74,0.75,0.45,0.43,17.73,159.98
76,30158,1020850,324088983,6279,9.36,10.38,4474,6.67,4.85,13162,19.62,29.14,0.77,0.79,0.49,0.47,19.93,151.33
77,31494,1368780,459683959,6485,9.68,9.95,4838,7.22,4.72,13825,20.63,29.88,0.76,0.78,0.45,0.42,15.98,160.09
78,29895,1087399,356091697,6204,9.62,10.04,4514,7.0,4.67,13176,20.43,29.47,0.76,0.77,0.46,0.43,16.41,158.81
79,58616,4179667,3351122571,8290,12.7,18.93,4494,6.88,5.08,29254,44.8,99.76,0.77,0.77,0.46,0.44,17.67,159.68
80,57092,5160852,4240491121,7906,12.47,18.61,4495,7.09,6.15,28457,44.88,98.19,0.78,0.78,0.46,0.42,20.16,155.08
81,47350,4563523,3341560081,7016,10.89,16.23,4228,6.57,5.7,23313,36.2,84.78,0.77,0.77,0.49,0.47,20.56,144.82
82,27212,1195146,383649100,5722,8.9,9.78,4251,6.61,5.15,12268,19.08,28.2,0.77,0.78,0.49,0.47,18.62,141.0
83,24290,925691,322335047,5709,8.57,9.38,4281,6.43,4.8,12181,18.29,27.16,0.77,0.78,0.49,0.48,16.75,147.8
84,24784,1434771,578583095,6090,9.4,9.96,4587,7.08,5.34,12515,19.31,28.26,0.77,0.79,0.48,0.47,18.03,158.38
85,61935,6274859,5261873571,7868,13.11,19.82,4023,6.7,5.17,30512,50.85,113.92,0.8,0.8,0.43,0.41,16.51,168.88
86,70048,7748092,6061620543,8175,13.6,20.93,4097,6.82,5.53,33872,56.36,126.29,0.78,0.78,0.43,0.41,17.21,167.58
87,62085,5731002,4799382758,7853,12.96,20.11,4115,6.79,5.67,30905,51.0,116.7,0.8,0.79,0.43,0.41,14.97,169.41
88,60358,6066120,4658064557,7408,12.77,19.82,4035,6.96,5.85,29861,51.48,120.92,0.8,0.8,0.44,0.41,15.39,169.01
89,20780,808884,262546680,5021,8.4,7.78,4019,6.72,4.71,10239,17.12,22.7,0.79,0.79,0.45,0.44,13.19,161.85
90,19364,1027778,441893080,4543,7.61,7.66,3438,5.76,4.1,9868,16.53,22.97,0.8,0.81,0.48,0.46,17.82,153.43
91,63522,6618728,5722384774,7626,13.13,20.48,3923,6.75,6.02,32293,55.58,124.66,0.8,0.8,0.47,0.44,19.64,151.02
92,63044,6690763,5788972026,7458,13.66,20.12,3773,6.91,5.5,31431,57.57,123.89,0.83,0.83,0.43,0.39,20.18,164.07
93,74120,9885552,9206416345,8391,13.28,19.85,4574,7.24,5.53,34524,54.63,127.68,0.82,0.82,0.41,0.38,18.49,164.88
94,64410,7179732,5918276906,7970,12.69,18.17,4546,7.24,5.6,31730,50.53,113.54,0.8,0.8,0.43,0.4,18.92,166.54
95,80639,6058463,4657074511,9022,13.57,20.58,5044,7.58,6.13,35833,53.88,126.11,0.82,0.83,0.42,0.4,17.5,166.94
96,28131,896385,305142772,6064,10.04,10.76,4411,7.3,5.11,13680,22.65,32.67,0.79,0.8,0.43,0.41,16.54,161.13
97,26524,927467,332218110,5705,9.29,9.46,4065,6.62,4.29,12874,20.97,30.52,0.81,0.81,0.44,0.42,20.41,165.11
98,59096,4785339,3524294348,7759,12.97,19.71,3988,6.67,5.64,31051,51.92,115.73,0.81,0.81,0.44,0.41,19.03,163.47
99,55084,5367569,3879404711,7455,12.49,18.84,3802,6.37,4.97,29088,48.72,109.03,0.8,0.8,0.46,0.43,20.29,163.28
100,64575,6745613,5409237044,8302,12.41,19.78,4637,6.93,12.81,33500,50.07,119.48,0.8,0.79,0.46,0.43,20.02,158.24
101,63466,7227918,5988003877,7662,12.6,18.89,4305,7.08,10.37,31908,52.48,114.84,0.77,0.78,0.49,0.46,22.27,151.78
102,57256,4688976,3713199177,7104,11.1,17.3,4760,7.44,4.73,28530,44.58,104.49,0.83,0.83,0.46,0.42,13.56,176.17
103,21859,423184,186457512,4498,7.13,6.72,4630,7.34,3.54,10449,16.56,21.23,0.84,0.86,0.46,0.44,8.11,185.74
104,22659,536336,195601444,4771,7.42,6.97,5031,7.82,3.47,10844,16.86,21.22,0.85,0.86,0.47,0.45,7.63,190.37
105,61020,5737555,4602997487,9105,14.45,30.5,5886,9.34,26.37,32194,51.1,118.39,0.81,0.81,0.46,0.43,16.4,164.85
106,61513,5056430,3553048226,7861,12.6,19.38,4035,6.47,5.42,31286,50.14,109.93,0.77,0.77,0.48,0.45,21.01,152.98
