id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,107843,8547637,8279002494,12846,17.57,17.61,9948,13.61,11.44,44960,61.5,96.29,0.91,0.9,0.5,0.47,23.03,123.52
1,90623,7871731,8166606740,12121,16.86,16.46,9233,12.84,11.12,40610,56.48,85.7,0.91,0.9,0.51,0.48,25.02,127.07
2,97409,10276175,11348509193,12430,17.03,16.53,9664,13.24,10.78,42999,58.9,90.27,0.91,0.9,0.51,0.49,25.6,124.69
3,98886,5691444,4993510138,12259,16.75,15.6,10255,14.01,10.81,40600,55.46,82.44,0.9,0.9,0.5,0.48,21.41,123.28
4,105934,6525720,5982212163,12611,16.97,16.04,11068,14.9,10.71,41257,55.53,91.44,0.92,0.92,0.48,0.47,20.06,130.55
5,42833,861474,554663522,8120,11.11,6.89,9802,13.41,8.27,14895,20.38,16.01,0.92,0.91,0.54,0.57,21.73,124.63
6,51539,2257798,2014044510,8837,11.6,8.51,11853,15.56,11.97,17478,22.94,21.14,0.93,0.92,0.55,0.59,22.71,120.58
7,126159,27929781,35070654400,16004,22.41,30.82,14739,20.64,36.1,53625,75.11,127.7,0.9,0.89,0.48,0.46,25.09,122.51
8,109298,21753546,27991192545,12708,17.43,17.71,10262,14.08,11.98,45512,62.43,99.92,0.89,0.88,0.49,0.47,22.75,131.47
9,73213,3978798,3437012445,11345,15.67,14.93,8580,11.85,7.18,33884,46.8,69.14,0.93,0.92,0.48,0.45,21.84,140.37
10,72091,3701438,3297550836,11194,16.2,14.84,8677,12.56,8.14,32684,47.3,66.83,0.93,0.92,0.48,0.44,24.28,137.55
11,88843,8602123,9578778687,13404,19.37,23.16,10991,15.88,21.44,38723,55.96,97.19,0.89,0.88,0.46,0.43,22.75,138.15
12,34757,6622290,8938539434,7564,10.52,6.45,7710,10.72,5.99,13113,18.24,14.26,0.91,0.89,0.53,0.54,22.26,129.97
13,37766,832414,420690805,7390,10.05,6.61,8051,10.95,7.8,13572,18.47,15.41,0.9,0.9,0.55,0.58,23.6,120.13
14,93365,15679108,19263590218,12288,18.02,17.43,9315,13.66,13.11,41168,60.36,87.47,0.9,0.89,0.48,0.46,25.61,124.77
15,115254,7395168,6322662645,13011,18.75,20.23,9919,14.29,14.23,46704,67.3,105.56,0.9,0.9,0.48,0.45,22.09,124.34
16,109800,6840136,6192113300,14191,20.33,22.98,10977,15.73,21.02,47180,67.59,104.56,0.9,0.9,0.47,0.44,22.92,127.92
17,70910,3015143,2187038834,10456,15.26,13.31,7846,11.45,7.17,27836,40.64,58.12,0.86,0.86,0.5,0.48,20.96,124.62
18,65667,3151359,2474778919,9781,14.28,12.71,7419,10.83,7.82,25486,37.21,53.25,0.9,0.89,0.52,0.51,20.73,121.68
