id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,15992,1566569,1139708480,2184,12.07,11.6,981,5.42,1.71,7229,39.94,53.36,0.9,0.94,0.46,0.37,19.22,95.42
1,12530,976151,724818664,2076,10.48,10.63,961,4.85,1.86,6120,30.91,43.65,0.89,0.94,0.47,0.38,16.92,102.93
2,13194,935691,734499108,2072,11.45,10.09,1062,5.87,3.67,6193,34.22,46.16,0.91,0.94,0.47,0.4,20.78,99.03
3,14034,1253493,937792655,2178,10.52,11.2,1078,5.21,2.01,6679,32.27,49.95,0.86,0.88,0.51,0.43,16.07,103.94
4,10363,1507828,1312784259,1808,9.37,9.03,1197,6.2,6.42,4655,24.12,35.99,0.76,0.76,0.43,0.38,8.3,116.9
5,1760,12028,7128907,846,4.78,1.84,946,5.34,3.16,1024,5.79,2.27,0.59,0.58,0.47,0.44,3.83,110.39
6,1969,117113,98478118,926,4.9,2.0,996,5.27,2.41,1179,6.24,2.9,0.63,0.63,0.49,0.48,4.41,99.35
7,16636,1006478,751249143,2197,10.82,12.2,1004,4.95,3.15,7313,36.02,54.7,0.84,0.88,0.49,0.4,12.2,96.17
8,15540,1445986,1127088194,2066,11.41,11.94,1006,5.56,2.62,7053,38.97,56.29,0.84,0.87,0.45,0.36,13.93,115.37
9,9145,1034989,884330498,1917,10.48,9.96,1086,5.93,1.76,5093,27.83,36.73,0.82,0.84,0.42,0.33,10.5,126.66
10,9757,936445,671370739,2079,11.18,9.88,1129,6.07,2.18,5269,28.33,35.36,0.9,0.94,0.47,0.4,20.53,119.13
11,11731,791178,656938854,2109,12.33,11.25,1049,6.13,2.08,5958,34.84,46.43,0.86,0.88,0.43,0.34,13.44,123.37
12,2225,153790,146362758,898,5.02,1.75,958,5.35,2.53,1270,7.09,3.14,0.79,0.82,0.46,0.42,13.12,130.62
13,2307,67837,50405039,941,5.11,1.93,971,5.28,2.25,1379,7.49,3.78,0.77,0.82,0.5,0.49,16.01,103.11
14,13937,893833,598198294,2154,11.71,11.99,995,5.41,2.42,6811,37.02,54.03,0.89,0.94,0.48,0.41,17.87,100.84
15,15248,1069706,814290043,2145,12.12,11.75,1105,6.24,3.96,7004,39.57,52.5,0.89,0.92,0.5,0.4,19.29,100.09
16,15803,899937,673976521,2249,11.96,11.08,1336,7.11,4.48,7554,40.18,49.03,0.94,0.97,0.5,0.4,16.4,105.51
17,14460,1501533,1218942034,2206,11.26,11.11,1125,5.74,2.91,6675,34.06,48.78,0.85,0.87,0.48,0.38,14.62,105.59
18,11389,876761,753113512,1822,9.39,9.92,954,4.92,2.06,5237,26.99,40.15,0.74,0.77,0.5,0.43,12.14,97.59
19,2693,33256,16482269,873,4.72,1.83,1590,8.59,8.31,1114,6.02,2.63,0.69,0.73,0.49,0.46,6.09,99.63
20,2491,113036,96559410,883,4.8,2.15,1301,7.07,6.73,1133,6.16,2.94,0.64,0.67,0.5,0.46,7.96,100.87
21,14481,2067339,1660282640,2144,11.05,11.15,1057,5.45,3.13,6591,33.97,48.67,0.85,0.88,0.47,0.4,12.81,105.66
22,16933,1793691,1478337041,2206,11.67,11.66,1172,6.2,4.55,7393,39.12,53.52,0.9,0.94,0.48,0.4,16.61,97.5
23,15817,940037,658736638,2142,11.39,11.19,996,5.3,1.94,7118,37.86,50.78,0.88,0.93,0.49,0.42,15.39,98.06
24,14625,1073234,856460626,1929,10.26,10.38,995,5.29,4.73,6268,33.34,47.05,0.87,0.91,0.5,0.42,13.68,94.67
25,3320,104954,101060061,944,4.74,1.92,955,4.8,1.79,1403,7.05,3.53,0.79,0.85,0.49,0.49,8.6,99.27
26,3284,76422,58663240,926,5.01,1.89,949,5.13,2.0,1387,7.5,3.4,0.75,0.82,0.49,0.49,8.45,99.39
27,3648,119395,89682959,896,5.01,2.03,877,4.9,1.81,1379,7.7,3.59,0.77,0.84,0.5,0.48,10.66,95.18
28,19644,2309941,2016806653,2339,11.52,12.19,1090,5.37,2.14,8005,39.43,59.18,0.86,0.9,0.47,0.42,10.76,100.5
29,17553,1231973,879467806,2376,11.42,12.22,1132,5.44,2.05,7790,37.45,57.06,0.87,0.91,0.49,0.45,11.16,104.75
30,15476,1376560,1062446592,2164,9.88,9.92,1248,5.7,3.7,6640,30.32,44.79,0.9,0.93,0.46,0.45,11.67,106.45
31,13530,1005398,759120680,2093,10.26,10.02,1139,5.58,3.11,5971,29.27,42.51,0.86,0.9,0.48,0.4,10.23,104.92
32,2458,40917,26567715,1081,5.33,2.22,1166,5.74,2.88,1451,7.15,3.39,0.79,0.84,0.5,0.51,11.09,119.76
33,2732,118461,100161600,1016,5.29,1.87,1052,5.48,1.82,1426,7.43,3.81,0.77,0.82,0.48,0.48,14.89,117.44
34,2252,32945,19323015,927,5.04,1.99,986,5.36,2.18,1292,7.02,3.25,0.75,0.81,0.45,0.44,14.7,117.35
35,16109,1290928,1002386673,2230,12.39,12.64,972,5.4,1.71,7168,39.82,54.89,0.84,0.88,0.45,0.37,11.83,105.53
36,16209,1486518,1220904563,2278,12.59,11.72,1074,5.93,2.03,6997,38.66,50.4,0.88,0.92,0.47,0.4,12.99,117.16
37,16152,1079622,833082356,2281,12.4,11.61,1112,6.04,1.93,7054,38.34,52.39,0.88,0.93,0.46,0.39,10.91,120.99
