id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,1455,20584,5440270,902,6.31,2.76,1114,7.79,4.48,1142,7.99,3.95,0.86,0.9,0.43,0.58,7.39,106.7
1,1202,18202,4873328,832,6.03,2.04,942,6.83,2.84,988,7.16,2.66,0.85,0.89,0.43,0.59,8.6,111.89
2,1581,24311,9569691,982,6.96,2.25,1128,8.0,3.39,1245,8.83,3.25,0.89,0.94,0.45,0.64,10.47,117.27
3,1784,17856,4773830,1098,8.01,2.89,1395,10.18,5.26,1583,11.55,4.96,0.84,0.88,0.37,0.56,7.49,108.63
4,2638,24593,7133882,1327,9.35,3.74,1840,12.96,8.1,2271,15.99,8.22,0.82,0.88,0.39,0.58,6.92,132.39
5,1682,12807,2528988,957,6.84,2.69,1112,7.94,6.25,1395,9.96,4.17,0.76,0.83,0.36,0.55,4.23,129.87
6,1746,17840,4936220,905,6.51,2.3,991,7.13,3.66,1466,10.55,4.93,0.71,0.77,0.38,0.55,3.66,132.85
7,1366,19501,7596442,893,6.42,2.29,995,7.16,3.18,1144,8.23,3.33,0.84,0.88,0.44,0.59,4.53,106.51
8,1714,18059,7160684,936,6.78,2.6,1038,7.52,2.72,1336,9.68,4.01,0.85,0.89,0.42,0.59,5.16,141.25
9,1568,14002,7328998,809,6.18,1.95,1013,7.73,5.46,1048,8.0,2.65,0.83,0.86,0.45,0.58,3.13,153.69
10,1314,15789,7093166,761,5.64,2.08,908,6.73,2.92,936,6.93,2.7,0.87,0.88,0.45,0.58,7.24,157.19
11,1487,18819,11543083,887,6.47,2.29,1195,8.72,13.37,980,7.15,2.74,0.88,0.89,0.43,0.57,8.23,148.73
12,1275,11442,2581615,724,5.61,2.09,850,6.59,6.24,969,7.51,3.38,0.8,0.81,0.37,0.53,6.89,162.08
13,1042,25068,18330362,713,5.36,2.38,814,6.12,3.04,888,6.68,3.18,0.82,0.85,0.45,0.61,7.48,125.5
14,1324,16344,4845314,788,5.92,1.98,863,6.49,2.77,1136,8.54,3.84,0.85,0.89,0.42,0.59,8.05,131.01
15,1318,17083,3985495,821,6.13,2.27,1056,7.88,5.95,1018,7.6,3.66,0.89,0.91,0.42,0.58,9.97,125.89
16,1369,21009,13525267,840,6.18,2.22,941,6.92,2.84,1196,8.79,3.79,0.86,0.91,0.46,0.59,7.61,121.12
17,1172,18069,4923724,827,6.17,2.13,1003,7.49,3.21,944,7.04,2.68,0.91,0.93,0.45,0.64,7.45,109.86
18,1691,28498,20575582,875,6.25,2.38,1026,7.33,3.65,1112,7.94,3.22,0.83,0.87,0.44,0.59,7.53,114.99
19,1316,18943,10347792,754,5.46,2.13,810,5.87,2.92,1168,8.46,4.04,0.75,0.8,0.4,0.56,6.6,138.86
20,1617,15018,3908768,901,6.62,2.13,941,6.92,3.02,1443,10.61,4.41,0.77,0.82,0.42,0.59,7.45,141.03
21,1758,18358,6474967,892,6.33,2.12,1063,7.54,3.17,1448,10.27,4.08,0.82,0.88,0.44,0.62,6.96,136.46
22,1549,25355,8041122,881,6.2,2.18,1267,8.92,6.69,1123,7.91,2.91,0.91,0.93,0.44,0.61,9.42,102.46
23,1684,16699,4561517,931,6.65,2.73,1036,7.4,3.09,1404,10.03,4.51,0.82,0.88,0.42,0.55,9.38,130.08
24,1573,16284,4500361,896,6.74,2.46,1002,7.53,3.63,1290,9.7,4.03,0.82,0.86,0.42,0.59,8.19,125.23
25,1303,19627,10322321,768,5.82,2.28,1037,7.86,3.63,953,7.22,3.06,0.91,0.92,0.49,0.62,9.25,100.83
26,1017,10803,2504045,626,5.17,1.87,747,6.17,3.26,829,6.85,2.92,0.79,0.83,0.42,0.55,13.15,121.62
27,1246,14154,3420901,803,5.95,1.94,957,7.09,3.24,1040,7.7,2.7,0.85,0.89,0.42,0.55,8.36,116.51
28,1266,26905,13780114,839,6.08,1.95,1018,7.38,3.02,1050,7.61,3.1,0.89,0.91,0.44,0.61,7.28,112.54
29,1557,15823,3976424,912,6.51,2.37,995,7.11,2.98,1354,9.67,4.29,0.84,0.88,0.44,0.62,7.95,127.84
30,1407,24470,8528907,849,6.06,2.33,1108,7.91,3.79,1089,7.78,3.65,0.93,0.96,0.46,0.66,11.22,107.62
31,1315,20149,6469189,812,5.93,2.1,1020,7.45,3.8,1033,7.54,2.99,0.87,0.9,0.45,0.63,10.18,111.07
32,1651,20514,5804857,874,6.29,2.4,1024,7.37,3.45,1126,8.1,3.96,0.87,0.9,0.45,0.64,6.16,114.9
33,1442,13512,2901255,856,6.11,2.11,894,6.39,2.44,1215,8.68,3.54,0.78,0.83,0.41,0.61,9.58,135.55
34,1479,18568,4931716,888,6.39,2.49,1028,7.4,3.06,1200,8.63,3.82,0.89,0.93,0.42,0.62,9.59,130.46
35,1462,23125,7084331,908,6.53,2.28,1125,8.09,3.44,1223,8.8,3.42,0.89,0.93,0.44,0.63,8.92,124.56
36,1757,24614,10391831,1004,7.07,2.43,1078,7.59,3.19,1496,10.54,4.11,0.84,0.91,0.42,0.59,7.6,131.19
37,1260,23646,11098292,820,6.03,2.22,998,7.34,3.04,984,7.24,3.34,0.9,0.93,0.45,0.62,9.65,117.86
38,1895,23649,8106918,961,6.86,3.77,1214,8.67,5.64,1546,11.04,7.75,0.88,0.93,0.41,0.6,8.72,133.18
39,1267,17085,5544245,856,6.16,2.14,978,7.04,3.1,1082,7.78,3.38,0.87,0.89,0.42,0.57,12.1,132.99
40,1979,17160,3525422,949,6.68,2.59,971,6.84,3.44,1748,12.31,5.82,0.75,0.82,0.4,0.59,8.93,151.76
41,1097,19175,5488613,759,5.84,2.53,882,6.78,3.27,908,6.98,3.39,0.85,0.87,0.43,0.64,10.09,124.98
42,1583,18717,6318729,935,6.78,2.31,1075,7.79,3.39,1192,8.64,3.68,0.89,0.91,0.43,0.6,8.37,136.7
43,1772,31076,14170729,1038,7.58,2.43,1179,8.61,3.56,1457,10.64,4.09,0.88,0.93,0.45,0.64,7.36,139.16
44,1539,35344,26180219,915,6.49,2.17,1105,7.84,3.33,1266,8.98,3.6,0.9,0.95,0.45,0.6,15.21,134.44
45,1601,19886,5687487,887,6.38,2.15,1023,7.36,2.98,1386,9.97,3.92,0.82,0.87,0.41,0.58,7.22,145.58
46,1684,16553,5011083,962,6.97,2.17,1037,7.51,2.63,1405,10.18,4.19,0.86,0.91,0.42,0.6,7.78,138.66
47,1451,24276,9228912,830,5.97,2.07,887,6.38,2.75,1273,9.16,4.13,0.79,0.86,0.42,0.6,10.73,144.41
48,1240,6947,1577114,665,5.64,1.68,685,5.81,2.1,899,7.62,3.1,0.78,0.8,0.41,0.56,3.6,176.26
49,1315,11251,3123389,826,6.31,2.21,873,6.66,2.66,1074,8.2,3.24,0.85,0.89,0.42,0.52,7.66,153.89
50,1246,14064,4294614,824,6.1,1.87,987,7.31,3.56,950,7.04,2.46,0.9,0.92,0.43,0.58,7.62,144.02
51,1722,18733,4821839,1018,7.22,2.26,1182,8.38,3.02,1491,10.57,4.07,0.85,0.9,0.41,0.58,8.69,142.5
52,1461,23669,8551174,942,6.68,2.35,1090,7.73,3.69,1161,8.23,3.02,0.86,0.88,0.46,0.63,7.54,122.56
53,1750,17940,5525332,924,6.55,2.37,1251,8.87,7.88,1364,9.67,3.84,0.85,0.88,0.46,0.6,7.82,139.51
54,7937,33075,3808196,715,5.67,2.16,7409,58.8,113.92,1552,12.32,10.38,0.83,0.85,0.43,0.59,7.87,139.25
55,2746,20509,9438123,709,5.76,2.35,2331,18.95,51.32,1061,8.63,4.27,0.78,0.82,0.38,0.54,5.11,147.35
56,1422,23262,9962506,777,5.71,2.22,1028,7.56,5.12,1159,8.52,3.82,0.88,0.93,0.43,0.57,7.91,128.35
