id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,31,323,112308,24,2.4,1.26,23,2.3,1.34,27,2.7,1.49,0.91,0.89,0.63,0.63,14.18,102.47
1,399,126139,114145755,243,4.12,2.51,185,3.14,1.64,325,5.51,3.88,0.96,0.96,0.56,0.43,15.59,102.69
2,171,4784,2124244,134,4.19,2.21,122,3.81,2.02,156,4.88,2.89,0.94,0.93,0.62,0.55,9.43,124.93
3,50,689,272379,40,2.86,0.95,33,2.36,0.93,49,3.5,1.22,0.98,0.99,0.58,0.47,16.06,126.35
4,44,1547,723300,34,4.86,2.27,37,5.29,1.8,41,5.86,2.19,0.83,0.83,0.58,0.61,1.64,163.35
6,801,120438,126223999,275,6.4,3.01,160,3.72,1.86,587,13.65,10.24,0.87,0.85,0.45,0.3,21.78,80.86
7,78,641,199770,52,3.71,1.64,49,3.5,1.79,69,4.93,2.53,0.89,0.89,0.67,0.69,3.39,106.02
8,103,1206,626911,84,4.2,1.44,74,3.7,1.45,98,4.9,1.83,0.89,0.88,0.49,0.42,2.14,122.13
9,145,3937,3361530,88,4.89,2.42,79,4.39,1.54,108,6.0,2.87,0.87,0.78,0.39,0.3,22.44,186.76
10,58,363,104668,27,3.38,1.3,27,3.38,1.3,33,4.12,1.81,0.98,0.99,0.46,0.42,3.82,184.26
11,66,1490,1080068,36,4.0,1.5,39,4.33,1.22,49,5.44,1.59,1.0,1.0,0.45,0.29,31.03,167.22
13,7,72,17648,7,3.5,0.71,6,3.0,0.0,7,3.5,0.71,0.89,0.88,0.22,0.15,5.84,128.38
14,204,4499,1408633,77,4.28,2.95,53,2.94,1.11,149,8.28,9.09,0.92,0.89,0.52,0.46,19.87,119.38
15,377,8354,3695369,264,4.26,1.93,204,3.29,1.64,347,5.6,3.01,0.94,0.95,0.46,0.37,42.17,143.66
16,42,1182,1106850,30,2.73,1.68,29,2.64,1.5,39,3.55,2.5,1.0,1.0,0.48,0.35,15.22,114.06
17,246,2408,722282,180,4.5,1.83,139,3.48,1.41,218,5.45,2.53,0.97,0.97,0.49,0.39,42.22,152.11
18,27,747,606292,22,3.14,2.12,18,2.57,1.27,25,3.57,3.1,0.87,0.87,0.71,0.67,23.29,108.09
21,95,1383,524338,66,3.0,1.31,80,3.64,1.53,85,3.86,1.73,0.89,0.88,0.63,0.65,14.23,102.59
22,71,8917,10172225,44,3.38,1.5,37,2.85,0.99,63,4.85,2.38,0.74,0.75,0.56,0.52,15.92,115.91
23,26,135,24082,25,3.12,1.25,23,2.88,1.55,26,3.25,1.49,0.81,0.75,0.69,0.73,3.57,107.37
24,70,20023,16356987,51,3.92,1.85,38,2.92,1.32,63,4.85,2.48,0.93,0.94,0.55,0.47,15.67,99.97
28,182,7345,5695375,106,3.53,2.03,79,2.63,1.33,156,5.2,3.66,0.96,0.97,0.58,0.5,11.05,113.5
29,178,1910,621894,111,3.0,1.05,115,3.11,1.07,146,3.95,1.97,0.87,0.86,0.63,0.62,4.03,109.97
30,130,2691,1418444,70,2.92,1.35,67,2.79,1.35,105,4.38,2.63,0.89,0.91,0.51,0.46,12.48,97.54
31,19,195,81980,13,3.25,1.26,12,3.0,0.82,15,3.75,2.22,0.92,0.85,0.76,0.89,1.09,105.45
32,1114,444581,475350839,226,5.38,2.23,128,3.05,1.41,345,8.21,3.71,0.87,0.87,0.33,0.24,20.81,79.83
35,81,1023,398253,56,3.29,1.57,50,2.94,1.14,73,4.29,2.82,0.99,0.99,0.53,0.47,11.55,127.19
36,185,25319,24599813,103,5.15,3.3,71,3.55,1.93,148,7.4,5.83,0.94,0.95,0.52,0.42,8.63,132.71
37,284,19177,16791995,181,5.32,3.69,120,3.53,1.58,244,7.18,5.98,0.96,0.97,0.47,0.35,14.12,120.36
38,178,183023,183130429,86,4.78,2.78,63,3.5,1.76,124,6.89,5.74,0.98,0.99,0.47,0.29,21.08,129.82
39,102,1641,903979,59,4.92,3.42,40,3.33,1.61,90,7.5,6.71,0.97,0.96,0.45,0.37,12.08,135.16
41,35,1103,661441,17,5.67,3.51,12,4.0,2.65,27,9.0,6.56,1.0,1.0,0.47,0.09,5.47,120.68
42,281,32993,35455134,174,4.7,1.53,134,3.62,1.19,228,6.16,2.8,0.9,0.89,0.47,0.43,11.31,120.56
43,170,31945,36912541,97,4.22,2.83,78,3.39,2.19,143,6.22,5.49,0.98,0.99,0.49,0.39,13.82,109.97
44,146,865,294543,105,3.39,1.61,109,3.52,1.55,121,3.9,1.89,0.81,0.8,0.51,0.5,9.52,133.46
45,286,9188,6438772,205,3.94,2.85,166,3.19,1.55,258,4.96,4.58,0.66,0.66,0.55,0.56,23.85,112.43
46,199,3322,1651487,156,3.63,2.7,120,2.79,1.3,179,4.16,3.77,0.62,0.6,0.49,0.47,52.1,106.29
49,54,531,164948,31,3.1,1.97,28,2.8,1.48,38,3.8,2.25,0.92,0.9,0.63,0.56,7.85,126.88
50,152,3772,3128318,92,3.68,1.6,88,3.52,1.33,122,4.88,2.32,0.81,0.68,0.43,0.41,8.85,148.52
51,111,3042,1714132,71,5.92,4.1,45,3.75,1.82,96,8.0,5.64,0.96,0.95,0.54,0.46,9.85,96.52
52,369,27327,10713396,176,6.52,3.25,92,3.41,1.67,227,8.41,5.11,0.92,0.89,0.51,0.49,16.47,112.47
53,73,14308,9028361,48,8.0,2.19,22,3.67,2.5,57,9.5,4.14,0.91,0.89,0.58,0.42,26.25,105.3
54,175,3699,1772637,63,7.0,2.5,53,5.89,1.69,104,11.56,9.28,0.99,1.0,0.52,0.39,10.35,155.59
55,193,9138,4169837,122,5.55,2.09,99,4.5,2.02,143,6.5,2.87,0.92,0.91,0.46,0.41,14.51,160.79
